EI,WI,EC,WC,EA,WA,AM,LC,MC,ND,PfW,SE,E,A,C,N,O,Test-1,Test-2,Test-3,BXI,CXI,TXI,Composite,Final Label
6.0,3.0,5.0,6.0,6.0,3.0,2.0,1.25,0.5,-0.5,1.67,-2.5,19.0,23.0,25.0,25.0,19.0,54,36,46,144,154,124.0,65.96638655462185,1
6.0,4.0,8.0,4.0,7.0,6.0,2.0,-0.25,2.5,1.0,0.67,2.5,23.0,20.0,32.0,33.0,22.0,52,36,46,140,150,120.0,59.772798008092124,1
7.0,9.0,5.0,4.0,8.0,9.0,4.33,1.75,4.5,4.5,5.0,5.0,31.0,32.0,37.0,35.0,36.0,52,56,42,160,146,122.0,68.26174914410208,1
5.0,3.0,5.0,5.0,3.0,5.0,3.33,-2.0,3.25,-2.5,5.0,5.0,29.0,24.0,35.0,24.0,25.0,52,48,46,152,150,123.0,67.11406784936199,1
5.0,8.0,6.0,7.0,8.0,6.0,4.67,3.75,2.25,-3.5,5.0,4.75,19.0,25.0,37.0,36.0,33.0,52,50,46,154,150,122.0,67.4447556800498,1
7.0,4.0,1.0,4.0,4.0,7.0,3.33,1.25,3.5,4.5,4.67,4.5,21.0,33.0,36.0,32.0,20.0,52,52,46,156,150,123.0,68.96591970121383,1
7.0,6.0,6.0,4.0,8.0,8.0,4.33,2.0,4.5,4.0,4.33,4.75,22.0,30.0,39.0,26.0,27.0,56,56,48,168,160,132.0,84.78057889822595,2
5.0,3.0,7.0,4.0,5.0,6.0,0.67,1.0,0.75,0.5,3.0,-0.25,19.0,18.0,25.0,20.0,11.0,56,38,46,150,158,129.0,73.68113912231559,1
4.0,3.0,3.0,5.0,6.0,5.0,0.33,2.0,1.5,4.5,2.0,3.0,16.0,22.0,21.0,24.0,13.0,54,42,46,150,154,124.0,68.74416433239963,1
4.0,2.0,6.0,2.0,4.0,3.0,-3.33,2.5,3.0,2.5,1.0,1.5,22.0,29.0,20.0,17.0,16.0,50,38,46,138,146,116.0,54.50513538748833,1
8.0,4.0,5.0,3.0,7.0,6.0,2.33,-1.0,4.0,-1.0,4.0,3.25,17.0,28.0,29.0,32.0,13.0,50,46,46,146,146,118.0,59.39931528166822,1
6.0,5.0,8.0,4.0,8.0,9.0,4.67,0.75,5.0,5.0,2.67,4.25,27.0,26.0,33.0,37.0,29.0,50,54,44,154,144,119.0,62.71786492374728,1
8.0,8.0,4.0,6.0,7.0,6.0,4.33,2.25,4.75,3.5,5.0,4.0,26.0,34.0,37.0,33.0,23.0,50,54,44,154,144,120.0,63.31310301898537,1
4.0,2.0,4.0,3.0,3.0,3.0,0.67,-2.0,3.75,1.0,2.33,1.75,9.0,18.0,20.0,12.0,20.0,46,38,46,130,138,108.0,42.11795829442888,1
6.0,2.0,5.0,3.0,4.0,6.0,4.67,1.75,3.0,4.5,4.67,-1.0,24.0,31.0,34.0,32.0,22.0,56,50,44,162,156,132.0,80.04201680672269,2
1.0,2.0,6.0,5.0,8.0,4.0,5.0,-2.5,5.0,5.0,5.0,2.5,28.0,23.0,21.0,18.0,20.0,52,52,44,156,148,124.0,68.58076563958919,1
5.0,1.0,1.0,7.0,7.0,5.0,5.0,0.0,2.75,4.0,5.0,2.0,29.0,28.0,34.0,35.0,33.0,48,50,42,146,138,114.0,53.09679427326487,1
5.0,2.0,3.0,6.0,3.0,3.0,1.33,-0.25,3.75,4.0,3.67,3.75,17.0,26.0,35.0,26.0,24.0,46,46,46,138,138,109.0,46.416900093370685,1
6.0,4.0,6.0,7.0,3.0,1.0,2.0,-0.5,2.75,2.5,3.67,3.5,16.0,28.0,23.0,20.0,12.0,50,42,46,142,146,117.0,56.95222533457829,1
5.0,3.0,3.0,7.0,5.0,5.0,1.33,0.0,5.0,5.0,5.0,5.0,24.0,24.0,24.0,11.0,17.0,54,52,46,160,154,126.0,74.56427015250546,1
5.0,4.0,6.0,6.0,2.0,1.0,3.67,-0.25,2.25,0.0,5.0,2.5,36.0,32.0,22.0,20.0,32.0,48,42,40,138,136,113.0,47.81746031746033,1
4.0,6.0,5.0,3.0,2.0,1.0,-0.67,-2.0,2.75,2.0,2.0,1.75,27.0,13.0,18.0,17.0,33.0,48,38,42,134,138,110.0,45.16028633675693,1
4.0,5.0,7.0,8.0,8.0,4.0,4.67,0.5,0.5,4.0,1.33,1.5,26.0,22.0,19.0,29.0,23.0,50,44,42,144,142,118.0,56.512605042016816,1
5.0,3.0,7.0,8.0,6.0,1.0,-0.67,-0.75,2.25,-1.0,2.33,2.25,20.0,21.0,19.0,16.0,18.0,48,36,46,132,142,112.0,47.38562091503268,1
5.0,2.0,5.0,5.0,6.0,5.0,-0.33,0.0,-3.5,-3.5,-4.33,-4.5,17.0,22.0,37.0,36.0,13.0,56,36,48,148,160,128.0,73.14036725801431,1
7.0,5.0,7.0,8.0,8.0,5.0,-4.33,-2.5,0.75,0.5,2.0,0.75,23.0,16.0,19.0,15.0,26.0,52,36,46,140,150,120.0,59.772798008092124,1
8.0,9.0,4.0,7.0,9.0,5.0,4.33,2.25,4.75,0.0,5.0,4.75,26.0,24.0,35.0,27.0,19.0,50,52,44,152,144,120.0,62.38717709305945,1
6.0,5.0,7.0,8.0,7.0,5.0,5.0,0.0,2.75,0.5,2.0,0.75,20.0,18.0,29.0,18.0,18.0,52,42,48,146,152,122.0,64.72144413320885,1
9.0,5.0,4.0,7.0,3.0,6.0,2.67,1.0,4.0,4.0,5.0,4.0,7.0,23.0,29.0,36.0,29.0,50,54,46,154,146,119.0,63.69825708061002,1
5.0,2.0,5.0,4.0,6.0,3.0,1.67,0.0,5.0,0.0,5.0,5.0,24.0,25.0,34.0,24.0,22.0,52,48,48,152,152,122.0,67.49922191098662,1
8.0,0.0,4.0,6.0,8.0,5.0,1.0,1.75,4.5,4.5,4.33,4.25,21.0,24.0,27.0,25.0,24.0,50,52,48,152,148,118.0,63.15748521630875,1
4.0,6.0,7.0,6.0,8.0,7.0,1.67,0.0,2.25,4.5,4.67,2.5,19.0,29.0,28.0,24.0,29.0,54,44,48,152,156,126.0,71.84095860566448,1
3.0,3.0,2.0,2.0,3.0,6.0,-1.67,2.5,-2.5,-5.0,5.0,2.5,32.0,25.0,39.0,32.0,23.0,48,40,46,136,142,114.0,50.42794895736073,1
6.0,5.0,6.0,6.0,9.0,5.0,-1.67,0.0,5.0,5.0,1.67,5.0,22.0,34.0,36.0,30.0,28.0,56,48,46,160,158,128.0,77.71553065670712,2
5.0,2.0,2.0,7.0,1.0,1.0,-0.33,-3.5,1.25,3.5,-0.33,0.75,21.0,22.0,20.0,26.0,18.0,46,38,44,130,136,108.0,41.13756613756614,1
4.0,1.0,2.0,1.0,1.0,6.0,1.0,-0.5,1.75,2.0,3.67,3.0,21.0,13.0,17.0,17.0,24.0,44,40,46,128,134,105.0,37.44553376906318,0
5.0,3.0,4.0,0.0,6.0,2.0,-0.67,2.5,2.0,-2.5,2.67,-2.25,24.0,23.0,18.0,25.0,24.0,48,38,46,134,142,113.0,48.90678493619671,1
3.0,4.0,5.0,3.0,3.0,1.0,-1.67,0.0,2.5,0.0,5.0,0.0,18.0,19.0,23.0,17.0,15.0,46,40,46,132,138,110.0,44.23436041083101,1
6.0,2.0,5.0,5.0,4.0,3.0,2.0,-4.25,4.0,5.0,4.33,0.25,23.0,22.0,17.0,22.0,30.0,54,48,46,156,154,126.0,72.7124183006536,1
8.0,8.0,6.0,8.0,8.0,6.0,4.33,4.0,4.5,1.0,4.67,2.75,23.0,20.0,27.0,35.0,20.0,46,54,46,146,138,112.0,51.90631808278867,1
7.0,4.0,5.0,5.0,6.0,7.0,5.0,4.25,2.25,3.5,5.0,5.0,22.0,24.0,28.0,29.0,19.0,56,54,46,166,158,132.0,82.8742608154373,2
8.0,5.0,3.0,8.0,9.0,6.0,3.67,2.25,5.0,2.5,5.0,4.0,26.0,27.0,34.0,17.0,22.0,46,50,46,142,138,111.0,49.45922813569873,1
9.0,5.0,7.0,8.0,6.0,5.0,4.0,0.5,4.0,3.0,4.67,3.75,24.0,32.0,18.0,26.0,20.0,50,52,42,152,142,120.0,61.40678493619671,1
5.0,0.0,5.0,4.0,5.0,5.0,1.67,-0.5,3.0,1.0,1.67,1.0,22.0,20.0,17.0,27.0,17.0,54,38,44,146,152,124.0,65.91192032368504,1
5.0,3.0,5.0,6.0,6.0,7.0,2.0,4.5,3.0,0.5,3.67,4.75,22.0,28.0,33.0,34.0,25.0,54,48,46,156,154,125.0,72.1171802054155,1
7.0,4.0,6.0,9.0,6.0,4.0,1.0,0.0,3.5,1.5,2.67,4.75,16.0,18.0,20.0,17.0,18.0,54,44,46,152,154,125.0,70.26532835356366,1
7.0,4.0,4.0,1.0,5.0,4.0,1.67,-0.25,4.5,5.0,5.0,4.5,28.0,26.0,26.0,35.0,18.0,54,52,44,160,152,126.0,73.58387799564271,1
7.0,1.0,4.0,5.0,5.0,1.0,1.33,-2.5,4.5,3.5,4.33,2.0,20.0,25.0,34.0,35.0,19.0,52,46,46,150,150,122.0,65.59290382819795,1
8.0,5.0,9.0,8.0,8.0,8.0,4.67,3.25,4.75,4.5,1.33,0.25,29.0,24.0,27.0,27.0,22.0,42,50,44,134,128,102.0,35.49642079053844,0
5.0,2.0,6.0,7.0,4.0,4.0,1.67,0.25,4.75,3.0,4.33,4.0,16.0,26.0,23.0,18.0,25.0,56,50,46,162,158,130.0,79.83193277310924,2
7.0,5.0,6.0,5.0,6.0,5.0,3.0,0.75,5.0,0.0,4.67,3.75,28.0,25.0,33.0,22.0,30.0,58,48,46,164,162,135.0,85.69483348895113,2
6.0,3.0,3.0,5.0,8.0,7.0,3.33,1.25,0.5,-1.5,1.33,1.5,28.0,26.0,28.0,34.0,26.0,52,38,44,142,148,121.0,60.3135698723934,1
4.0,2.0,2.0,3.0,3.0,4.0,3.33,2.5,4.0,3.0,-1.33,3.25,31.0,37.0,35.0,36.0,33.0,48,46,40,142,136,111.0,48.47883597883598,1
8.0,1.0,6.0,3.0,8.0,5.0,4.33,2.0,4.25,4.0,4.0,3.5,16.0,20.0,22.0,17.0,32.0,48,54,44,150,140,114.0,55.92903828197946,1
1.0,2.0,3.0,5.0,3.0,4.0,1.67,1.5,2.5,0.0,2.67,1.5,24.0,19.0,13.0,11.0,21.0,48,38,46,134,142,113.0,48.90678493619671,1
7.0,3.0,3.0,6.0,7.0,5.0,1.67,2.0,4.75,5.0,1.33,4.5,19.0,27.0,37.0,33.0,26.0,54,48,48,156,156,124.0,72.50233426704015,1
9.0,4.0,5.0,4.0,9.0,4.0,-0.67,0.5,2.75,5.0,4.33,3.25,20.0,24.0,24.0,8.0,28.0,52,48,46,152,150,122.0,66.51882975412389,1
4.0,2.0,7.0,0.0,3.0,4.0,4.33,1.25,3.0,4.5,4.0,1.75,22.0,21.0,31.0,31.0,18.0,48,50,46,146,142,116.0,56.24805477746655,1
9.0,8.0,5.0,3.0,8.0,6.0,2.0,2.25,5.0,0.0,5.0,4.25,19.0,25.0,40.0,36.0,28.0,48,48,48,144,144,114.0,55.11204481792717,1
6.0,3.0,6.0,3.0,7.0,4.0,5.0,2.5,5.0,5.0,5.0,5.0,13.0,27.0,40.0,40.0,35.0,54,56,46,164,154,126.0,76.4161220043573,2
6.0,4.0,6.0,7.0,8.0,3.0,2.0,0.0,3.75,-0.5,3.67,2.0,17.0,22.0,38.0,17.0,19.0,52,40,50,144,154,121.0,64.18067226890756,1
7.0,5.0,7.0,5.0,6.0,6.0,2.67,1.25,2.25,3.5,1.0,1.0,34.0,17.0,19.0,31.0,16.0,58,40,42,156,158,133.0,78.83986928104576,2
5.0,4.0,4.0,6.0,8.0,6.0,4.33,0.0,5.0,5.0,4.67,2.0,28.0,26.0,40.0,40.0,30.0,54,52,46,160,154,128.0,75.75474634298163,2
8.0,5.0,8.0,7.0,9.0,8.0,4.67,2.5,4.5,4.0,4.67,4.5,16.0,24.0,40.0,38.0,30.0,46,56,48,148,140,112.0,53.812636165577345,1
7.0,7.0,7.0,8.0,8.0,4.0,4.67,0.25,5.0,2.5,5.0,5.0,34.0,22.0,26.0,40.0,34.0,54,52,42,160,150,126.0,72.60348583877997,1
7.0,3.0,6.0,5.0,4.0,2.0,2.0,0.75,4.25,3.0,3.33,2.25,26.0,16.0,37.0,36.0,18.0,54,44,46,152,154,125.0,70.26532835356366,1
6.0,9.0,6.0,5.0,5.0,7.0,3.67,0.25,2.5,-2.0,5.0,4.75,26.0,23.0,39.0,37.0,33.0,54,46,44,154,152,125.0,70.21086212262684,1
8.0,4.0,4.0,9.0,6.0,5.0,4.67,0.0,5.0,5.0,5.0,3.75,14.0,31.0,36.0,40.0,27.0,50,54,46,154,146,120.0,64.29349517584812,1
7.0,3.0,6.0,8.0,8.0,5.0,1.67,0.0,4.75,5.0,5.0,5.0,28.0,23.0,31.0,27.0,32.0,52,52,42,156,146,120.0,65.21942110177405,1
7.0,6.0,7.0,7.0,6.0,5.0,1.67,2.5,5.0,0.0,5.0,5.0,25.0,32.0,28.0,29.0,23.0,60,48,44,168,164,138.0,90.31279178338004,2
6.0,0.0,5.0,4.0,6.0,1.0,1.33,1.75,3.75,3.5,4.67,3.25,17.0,21.0,32.0,21.0,18.0,52,46,48,150,152,122.0,66.57329598506071,1
6.0,3.0,6.0,6.0,2.0,7.0,5.0,0.0,5.0,0.0,5.0,5.0,27.0,28.0,39.0,37.0,21.0,52,52,46,156,150,124.0,69.56115779645192,1
6.0,0.0,4.0,4.0,2.0,4.0,4.67,2.25,4.75,4.5,4.67,2.25,25.0,24.0,26.0,23.0,22.0,52,52,48,156,152,124.0,70.54154995331467,1
7.0,3.0,4.0,3.0,6.0,7.0,1.67,1.25,0.75,-2.0,2.33,2.25,30.0,36.0,40.0,28.0,25.0,54,36,44,144,152,124.0,64.98599439775911,1
7.0,7.0,9.0,3.0,9.0,8.0,4.67,-0.25,4.25,4.0,4.67,-1.5,21.0,31.0,28.0,33.0,23.0,50,52,44,152,144,120.0,62.38717709305945,1
3.0,0.0,4.0,2.0,6.0,2.0,4.33,3.25,4.5,5.0,3.33,3.25,18.0,17.0,27.0,20.0,29.0,48,54,48,150,144,115.0,58.48506069094306,1
5.0,4.0,3.0,2.0,6.0,5.0,1.67,1.75,5.0,3.0,3.33,2.5,33.0,25.0,29.0,34.0,29.0,52,44,44,148,148,121.0,63.09134765017118,1
5.0,8.0,4.0,3.0,6.0,6.0,1.67,2.5,2.5,5.0,1.67,5.0,26.0,30.0,27.0,24.0,26.0,52,44,46,148,150,120.0,63.476501711795834,1
4.0,0.0,1.0,3.0,7.0,6.0,2.0,0.75,4.5,5.0,4.33,4.5,29.0,24.0,40.0,30.0,36.0,46,52,44,144,136,108.0,47.61904761904762,1
4.0,5.0,8.0,6.0,9.0,6.0,2.0,1.25,5.0,5.0,2.0,4.75,17.0,35.0,36.0,24.0,26.0,50,48,48,148,148,116.0,60.115157173980705,1
7.0,8.0,9.0,8.0,9.0,5.0,2.0,-1.0,5.0,2.5,4.0,3.75,20.0,24.0,24.0,10.0,28.0,46,46,46,138,138,110.0,47.01213818860877,1
4.0,2.0,4.0,2.0,9.0,4.0,1.0,1.75,3.0,-2.0,0.33,-0.75,24.0,26.0,28.0,22.0,27.0,52,38,48,142,152,120.0,61.679116090880804,1
3.0,1.0,4.0,5.0,6.0,3.0,5.0,2.5,5.0,0.0,-1.67,2.5,19.0,25.0,34.0,24.0,22.0,50,44,48,144,148,118.0,59.45378151260504,1
4.0,4.0,9.0,3.0,4.0,5.0,4.67,2.25,5.0,2.5,5.0,4.75,13.0,34.0,23.0,16.0,24.0,50,52,44,152,144,120.0,62.38717709305945,1
3.0,1.0,2.0,3.0,2.0,2.0,1.67,0.0,5.0,5.0,5.0,5.0,22.0,20.0,24.0,22.0,20.0,42,52,46,136,130,102.0,37.40273887332711,0
4.0,1.0,7.0,5.0,7.0,4.0,2.67,-2.0,4.5,5.0,4.33,4.5,31.0,20.0,27.0,28.0,22.0,52,54,44,158,148,123.0,68.91145347027701,1
4.0,6.0,6.0,7.0,4.0,3.0,1.67,0.0,5.0,2.5,5.0,4.75,18.0,23.0,15.0,0.0,21.0,54,48,46,156,154,126.0,72.7124183006536,1
5.0,2.0,6.0,2.0,1.0,1.0,1.67,2.5,5.0,5.0,5.0,2.5,15.0,14.0,15.0,25.0,17.0,46,48,46,140,138,110.0,47.938064114534704,1
8.0,4.0,8.0,9.0,6.0,3.0,3.67,1.5,5.0,5.0,1.67,5.0,28.0,15.0,35.0,16.0,31.0,42,50,44,134,128,99.0,33.71070650482415,0
6.0,7.0,6.0,6.0,5.0,7.0,2.0,3.25,4.25,-4.5,1.67,1.75,23.0,30.0,37.0,36.0,24.0,58,42,48,158,164,132.0,82.11173358232183,2
6.0,9.0,5.0,5.0,8.0,6.0,1.67,0.0,5.0,5.0,5.0,5.0,16.0,38.0,40.0,25.0,32.0,54,52,46,160,154,124.0,73.37379396202927,1
5.0,5.0,4.0,4.0,7.0,5.0,0.67,2.75,2.75,3.5,2.67,3.75,21.0,25.0,31.0,24.0,25.0,54,46,48,154,156,125.0,72.17164643635232,1
4.0,6.0,4.0,3.0,6.0,4.0,2.67,2.75,4.75,2.5,2.33,3.0,15.0,22.0,33.0,36.0,17.0,56,46,46,158,158,129.0,77.38484282601931,2
8.0,7.0,7.0,6.0,8.0,6.0,4.67,1.75,5.0,4.5,3.33,5.0,28.0,31.0,40.0,32.0,29.0,54,54,44,162,152,127.0,75.10504201680673,2
7.0,4.0,6.0,5.0,8.0,7.0,1.67,2.75,5.0,5.0,4.67,3.75,20.0,25.0,38.0,35.0,18.0,54,52,48,160,156,126.0,75.54466230936819,2
7.0,2.0,6.0,6.0,5.0,5.0,1.33,-0.25,4.5,3.0,4.67,3.0,20.0,28.0,36.0,26.0,29.0,58,48,48,164,164,134.0,86.0799875505758,2
8.0,2.0,4.0,3.0,5.0,6.0,2.33,1.5,3.75,5.0,4.0,1.25,31.0,35.0,36.0,38.0,23.0,52,46,44,150,148,122.0,64.6125116713352,1
9.0,7.0,6.0,6.0,8.0,6.0,1.0,2.5,2.0,5.0,3.67,2.0,18.0,23.0,18.0,31.0,12.0,54,42,44,150,152,125.0,68.35901027077499,1
8.0,5.0,8.0,6.0,9.0,6.0,3.33,1.5,3.75,5.0,4.67,4.0,26.0,24.0,37.0,25.0,27.0,48,52,48,148,144,115.0,57.55913476501713,1
5.0,6.0,4.0,3.0,5.0,4.0,5.0,0.0,4.5,5.0,4.33,0.5,14.0,30.0,36.0,35.0,28.0,56,52,48,164,160,132.0,82.9287270463741,2
6.0,5.0,6.0,4.0,7.0,6.0,-0.67,1.0,1.75,4.0,4.33,4.0,16.0,30.0,35.0,23.0,26.0,56,48,48,160,160,130.0,79.88639900404607,2
6.0,7.0,8.0,6.0,4.0,7.0,3.0,0.0,5.0,5.0,5.0,4.75,27.0,25.0,40.0,29.0,25.0,54,54,46,162,154,127.0,76.08543417366947,2
7.0,8.0,7.0,6.0,7.0,5.0,2.0,2.25,4.25,5.0,1.0,1.75,24.0,37.0,38.0,31.0,25.0,54,44,46,152,154,124.0,69.67009025832556,1
7.0,6.0,4.0,8.0,6.0,5.0,-1.33,4.5,1.25,5.0,-3.0,-0.5,21.0,24.0,36.0,24.0,20.0,56,44,50,156,162,128.0,77.82446311858077,2
7.0,6.0,6.0,7.0,6.0,7.0,3.33,0.0,5.0,5.0,1.67,5.0,20.0,18.0,26.0,26.0,26.0,58,50,46,166,162,133.0,85.43028322440088,2
7.0,6.0,5.0,5.0,8.0,7.0,0.0,2.0,5.0,5.0,1.67,2.5,19.0,24.0,39.0,31.0,18.0,56,44,48,156,160,128.0,76.84407096171802,2
5.0,7.0,3.0,1.0,7.0,3.0,1.67,0.0,5.0,5.0,5.0,5.0,23.0,32.0,40.0,31.0,25.0,46,52,46,144,138,110.0,49.78991596638656,1
7.0,7.0,7.0,7.0,6.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,21.0,27.0,34.0,23.0,17.0,60,52,48,172,168,140.0,95.31590413943356,2
6.0,3.0,5.0,5.0,8.0,5.0,2.67,4.75,3.75,5.0,4.67,5.0,16.0,30.0,39.0,35.0,31.0,56,56,46,168,158,129.0,82.01447245564893,2
4.0,2.0,6.0,6.0,7.0,4.0,1.33,2.5,4.75,5.0,1.67,5.0,18.0,16.0,28.0,15.0,32.0,54,48,46,156,154,122.0,70.3314659197012,1
4.0,2.0,6.0,4.0,4.0,5.0,4.33,2.0,4.75,0.0,1.67,5.0,21.0,29.0,37.0,14.0,31.0,56,48,48,160,160,128.0,78.69592281356988,2
6.0,9.0,6.0,5.0,6.0,4.0,-1.67,-2.5,5.0,5.0,5.0,2.5,14.0,18.0,27.0,29.0,26.0,56,48,46,160,158,130.0,78.9060068471833,2
6.0,4.0,6.0,5.0,9.0,4.0,4.0,2.75,3.75,2.5,3.67,1.25,22.0,27.0,33.0,36.0,19.0,56,46,46,158,158,131.0,78.5753190164955,2
7.0,2.0,6.0,2.0,5.0,5.0,4.33,0.0,4.0,5.0,2.0,2.0,18.0,14.0,31.0,25.0,19.0,56,48,48,160,160,130.0,79.88639900404607,2
7.0,9.0,9.0,6.0,6.0,5.0,3.67,2.0,3.5,4.0,2.0,3.75,20.0,35.0,36.0,32.0,32.0,52,46,44,150,148,119.0,62.82679738562092,1
6.0,4.0,6.0,3.0,9.0,7.0,5.0,4.0,5.0,0.0,5.0,4.0,27.0,29.0,40.0,35.0,27.0,52,56,46,160,150,124.0,71.41300964830377,1
6.0,4.0,6.0,3.0,9.0,7.0,5.0,4.0,5.0,0.0,5.0,4.0,27.0,29.0,40.0,35.0,27.0,52,56,46,160,150,124.0,71.41300964830377,1
4.0,9.0,7.0,5.0,9.0,7.0,5.0,4.75,3.5,5.0,5.0,4.5,28.0,33.0,39.0,39.0,30.0,50,58,44,158,144,120.0,65.16495487083724,1
5.0,3.0,5.0,4.0,6.0,4.0,4.0,4.5,5.0,0.0,5.0,3.0,20.0,29.0,39.0,36.0,27.0,56,54,48,166,160,132.0,83.85465297230003,2
5.0,3.0,8.0,7.0,3.0,4.0,1.33,4.0,4.25,4.5,5.0,4.25,25.0,16.0,23.0,31.0,19.0,48,56,44,152,140,114.0,56.8549642079054,1
7.0,5.0,8.0,5.0,3.0,6.0,5.0,3.5,1.0,4.0,-1.67,2.0,30.0,29.0,40.0,28.0,27.0,50,46,46,146,146,118.0,59.39931528166822,1
7.0,6.0,2.0,4.0,7.0,7.0,1.67,4.25,4.5,0.0,4.67,4.0,27.0,29.0,35.0,33.0,25.0,54,52,44,160,152,126.0,73.58387799564271,1
6.0,4.0,4.0,3.0,4.0,5.0,4.67,2.5,3.75,4.0,4.0,3.75,24.0,27.0,40.0,36.0,32.0,56,52,46,164,158,130.0,80.75785869903518,2
5.0,1.0,5.0,6.0,5.0,2.0,5.0,0.0,5.0,5.0,1.67,5.0,25.0,24.0,24.0,27.0,14.0,50,52,44,152,144,118.0,61.19670090258327,1
4.0,3.0,5.0,6.0,5.0,5.0,4.67,2.5,5.0,5.0,4.67,2.0,35.0,36.0,40.0,32.0,13.0,56,52,44,164,156,132.0,80.96794273264861,2
6.0,2.0,4.0,3.0,2.0,3.0,1.33,5.0,5.0,5.0,5.0,4.5,23.0,17.0,33.0,33.0,24.0,48,56,46,152,142,114.0,57.83535636476814,1
5.0,9.0,7.0,3.0,7.0,6.0,1.67,0.0,5.0,5.0,1.67,5.0,26.0,29.0,25.0,27.0,26.0,50,48,42,148,142,116.0,57.173980703392466,1
3.0,2.0,6.0,8.0,5.0,2.0,2.67,2.5,3.25,1.5,3.33,2.25,24.0,27.0,36.0,38.0,27.0,48,42,48,138,144,114.0,52.334267040149406,1
7.0,3.0,3.0,6.0,7.0,6.0,5.0,2.25,4.75,2.5,4.67,4.25,30.0,24.0,32.0,32.0,32.0,54,52,42,160,150,126.0,72.60348583877997,1
9.0,8.0,8.0,5.0,8.0,7.0,5.0,1.75,4.75,5.0,4.33,4.25,40.0,36.0,36.0,38.0,27.0,44,56,44,144,132,108.0,45.65826330532213,1
9.0,3.0,3.0,5.0,6.0,5.0,5.0,2.5,5.0,4.5,4.33,4.5,30.0,34.0,34.0,31.0,25.0,52,56,42,160,146,124.0,69.45222533457829,1
7.0,2.0,7.0,5.0,6.0,4.0,4.33,-0.5,5.0,5.0,1.67,2.5,24.0,36.0,37.0,33.0,29.0,58,48,46,164,162,134.0,85.09959539371305,2
7.0,2.0,3.0,5.0,8.0,5.0,4.67,2.5,5.0,4.5,4.67,4.0,24.0,28.0,40.0,40.0,30.0,54,56,48,164,156,128.0,78.58699035169624,2
6.0,2.0,5.0,3.0,7.0,6.0,-2.0,2.25,3.75,4.0,3.33,2.5,23.0,19.0,30.0,25.0,19.0,54,44,48,152,156,125.0,71.2457205104264,1
8.0,5.0,7.0,2.0,6.0,4.0,4.67,2.0,2.25,3.5,4.33,2.25,20.0,19.0,23.0,21.0,18.0,52,46,46,150,150,124.0,66.78338001867414,1
6.0,3.0,7.0,2.0,5.0,1.0,3.67,0.25,4.25,5.0,1.33,2.25,18.0,17.0,25.0,26.0,14.0,52,46,44,150,148,121.0,64.01727357609711,1
5.0,2.0,6.0,4.0,8.0,4.0,3.67,2.0,2.75,3.0,2.67,3.5,19.0,35.0,36.0,33.0,29.0,54,46,46,154,154,126.0,71.78649237472767,1
6.0,2.0,5.0,2.0,7.0,6.0,4.33,0.5,3.5,4.0,3.33,0.75,26.0,19.0,30.0,31.0,20.0,54,48,44,156,152,127.0,72.32726423902895,1
7.0,7.0,6.0,1.0,8.0,7.0,1.67,2.5,5.0,5.0,5.0,0.0,21.0,36.0,35.0,22.0,7.0,52,48,46,152,150,122.0,66.51882975412389,1
7.0,4.0,5.0,4.0,9.0,6.0,1.67,4.0,5.0,0.0,5.0,2.5,16.0,21.0,33.0,18.0,29.0,56,48,48,160,160,130.0,79.88639900404607,2
4.0,0.0,2.0,2.0,3.0,7.0,5.0,0.25,5.0,4.5,1.67,-2.75,20.0,20.0,32.0,36.0,24.0,44,48,46,136,134,106.0,41.74447556800498,1
7.0,6.0,7.0,3.0,7.0,8.0,5.0,4.5,4.75,5.0,1.67,0.0,24.0,36.0,37.0,33.0,29.0,54,52,46,160,154,126.0,74.56427015250546,1
7.0,8.0,7.0,4.0,8.0,6.0,2.0,5.0,4.5,5.0,5.0,2.5,24.0,35.0,38.0,40.0,27.0,54,52,46,160,154,126.0,74.56427015250546,1
6.0,7.0,5.0,0.0,7.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,21.0,30.0,31.0,29.0,20.0,54,52,46,160,154,128.0,75.75474634298163,2
6.0,4.0,5.0,5.0,4.0,5.0,2.0,0.25,3.25,2.0,3.0,2.5,21.0,31.0,36.0,36.0,28.0,58,40,46,156,162,133.0,80.80065359477125,2
6.0,6.0,5.0,8.0,7.0,3.0,4.33,4.25,4.75,3.5,4.33,3.75,25.0,32.0,33.0,18.0,23.0,50,56,46,156,146,120.0,65.21942110177405,1
7.0,4.0,5.0,5.0,7.0,6.0,5.0,4.5,2.25,3.5,4.33,4.0,24.0,33.0,32.0,26.0,23.0,56,54,44,166,156,132.0,81.89386865857455,2
7.0,2.0,6.0,5.0,7.0,8.0,4.67,4.5,5.0,3.0,4.67,4.25,26.0,33.0,36.0,26.0,31.0,54,58,42,166,150,126.0,75.38126361655773,2
7.0,2.0,3.0,3.0,5.0,6.0,5.0,1.25,5.0,5.0,5.0,1.5,24.0,33.0,40.0,35.0,27.0,54,52,46,160,154,128.0,75.75474634298163,2
8.0,8.0,6.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,0.0,24.0,25.0,32.0,31.0,26.0,50,56,46,156,146,120.0,65.21942110177405,1
